2021-09-16 17:01:55.334 GMT [13708] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 17:01:55.335 GMT [13708] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 17:01:55.336 GMT [13708] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-16 17:01:55.336 GMT [13708] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-16 19:01:55.352 CAT [6980] LOG:  statistics collector process (PID 13708) exited with exit code 1
2021-09-16 19:02:45.400 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-16 17:02:55.396 GMT [10716] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 17:02:55.397 GMT [10716] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 17:02:55.399 GMT [10716] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-16 17:02:55.399 GMT [10716] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-16 19:02:55.416 CAT [6980] LOG:  statistics collector process (PID 10716) exited with exit code 1
2021-09-16 17:03:55.448 GMT [7824] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 17:03:55.449 GMT [7824] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 17:03:55.451 GMT [7824] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-16 17:03:55.451 GMT [7824] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-16 19:03:55.455 CAT [6980] LOG:  statistics collector process (PID 7824) exited with exit code 1
2021-09-16 19:03:57.812 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-16 17:04:55.477 GMT [1984] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 17:04:55.478 GMT [1984] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 17:04:55.479 GMT [1984] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-16 17:04:55.479 GMT [1984] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-16 19:04:55.484 CAT [6980] LOG:  statistics collector process (PID 1984) exited with exit code 1
2021-09-16 19:05:11.609 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-16 17:05:55.509 GMT [6312] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 17:05:55.510 GMT [6312] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 17:05:55.512 GMT [6312] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-16 17:05:55.512 GMT [6312] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-16 19:05:55.535 CAT [6980] LOG:  statistics collector process (PID 6312) exited with exit code 1
2021-09-16 19:06:25.035 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-16 17:06:55.710 GMT [13704] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 17:06:55.712 GMT [13704] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 17:06:55.714 GMT [13704] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-16 17:06:55.714 GMT [13704] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-16 19:06:55.729 CAT [6980] LOG:  statistics collector process (PID 13704) exited with exit code 1
2021-09-16 19:07:37.634 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-16 17:07:55.755 GMT [5344] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 17:07:55.756 GMT [5344] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 17:07:55.758 GMT [5344] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-16 17:07:55.758 GMT [5344] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-16 19:07:55.765 CAT [6980] LOG:  statistics collector process (PID 5344) exited with exit code 1
2021-09-16 19:08:52.331 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-16 17:08:55.803 GMT [13896] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 17:08:55.804 GMT [13896] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 17:08:55.806 GMT [13896] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-16 17:08:55.806 GMT [13896] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-16 19:08:55.824 CAT [6980] LOG:  statistics collector process (PID 13896) exited with exit code 1
