2021-10-12 13:55:45.279 GMT [13760] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 13:55:45.280 GMT [13760] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 13:55:45.281 GMT [13760] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-12 13:55:45.281 GMT [13760] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-12 15:55:45.286 CAT [6980] LOG:  statistics collector process (PID 13760) exited with exit code 1
2021-10-12 15:56:16.693 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-12 13:56:45.328 GMT [7252] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 13:56:45.329 GMT [7252] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 13:56:45.331 GMT [7252] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-12 13:56:45.331 GMT [7252] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-12 15:56:45.357 CAT [6980] LOG:  statistics collector process (PID 7252) exited with exit code 1
2021-10-12 15:57:32.484 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-12 13:57:45.399 GMT [18360] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 13:57:45.400 GMT [18360] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 13:57:45.402 GMT [18360] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-12 13:57:45.402 GMT [18360] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-12 15:57:45.426 CAT [6980] LOG:  statistics collector process (PID 18360) exited with exit code 1
2021-10-12 13:58:45.455 GMT [16136] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 13:58:45.456 GMT [16136] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 13:58:45.459 GMT [16136] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-12 13:58:45.459 GMT [16136] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-12 15:58:45.480 CAT [6980] LOG:  statistics collector process (PID 16136) exited with exit code 1
2021-10-12 15:58:48.017 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-12 13:59:45.515 GMT [16404] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 13:59:45.516 GMT [16404] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 13:59:45.518 GMT [16404] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-12 13:59:45.518 GMT [16404] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-12 15:59:45.522 CAT [6980] LOG:  statistics collector process (PID 16404) exited with exit code 1
2021-10-12 16:00:03.880 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-12 14:00:45.554 GMT [6268] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 14:00:45.555 GMT [6268] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 14:00:45.557 GMT [6268] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-12 14:00:45.557 GMT [6268] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-12 16:00:45.579 CAT [6980] LOG:  statistics collector process (PID 6268) exited with exit code 1
2021-10-12 16:01:19.617 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-12 14:01:45.614 GMT [14740] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 14:01:45.615 GMT [14740] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 14:01:45.617 GMT [14740] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-12 14:01:45.617 GMT [14740] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-12 16:01:45.631 CAT [6980] LOG:  statistics collector process (PID 14740) exited with exit code 1
2021-10-12 16:02:35.397 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-12 14:02:45.668 GMT [2740] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 14:02:45.669 GMT [2740] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
